Code;Country;13/14;14/15;15/16;16/17;17/18;18/19;19/20;20/21
388;Rep. of South Africa;-20.9695549;-21.91492344;16.46551495;63.25216114;-19.54125882;-45.41379757;17.72466182;21.8362432
208;Algeria;29.963297;-19.52133061;-36.80601983;69.43561419;45.42052005;-37.91399683;-21.11638508;86.84635332
10;Portugal;14.22260268;-14.55322294;3.174617878;0.965496617;6.267305339;17.04987467;6.299690833;7.033764636
63;Slovakia;-15.56418523;-5.579280787;9.246299822;-5.609892208;-12.98829775;-3.368211752;26.8036631;-2.490732393
8;Denmark;24.88759513;-22.71367259;12.245201;-10.09981871;2.296598744;12.3567244;-12.38160309;12.04581107
649;Oman;-32.07732036;-46.18836266;-20.42099582;102.3453791;-28.53496807;225.778551;45.46903537;186.4789201
404;Canada;-16.44621542;-18.54200816;16.3201885;95.15500679;-11.31687665;-17.69292443;-33.91318746;-12.96477656
7;Ireland;9.141619845;-7.052243879;-1.372303103;17.10570138;-8.124026293;-9.095129074;11.00155234;-0.05557013
412;Mexico;1.860557554;-16.27325164;0.961132765;-6.407049692;-19.75666992;10.29222654;12.31931042;4.842634148
800;Australia;-54.64352476;-0.874755589;15.06598086;251.3280234;-51.7624713;-3.687560397;-60.67784515;110.6564656
28;Norway;-16.64066415;-23.29291368;-6.561774909;31.71838342;-6.372866262;1.023885608;-12.0935228;17.4137855
204;Morocco;10.11668152;14.13536286;26.41166853;1.104283014;-19.11557772;-5.262642917;-9.982852976;23.82407572
216;Libya;-15.54110505;-11.29053636;-14.98707906;18.81702184;60.1459128;30.08635248;246.2854818;-56.92578636
78;Azerbaijan;-21.23504241;-26.00275236;-8.134832638;17.10189878;6.321120401;0.635015758;-0.075733011;60.67613117
80;Turkmenistan;-3.158719523;-16.96760309;-19.35881337;-4.755847181;-22.11930433;-9.152469017;-7.363410583;93.30821726
644;Qatar;5.021193877;2.202609667;-31.1405712;2.33701019;33.0256836;-20.47120356;-2.949708852;79.44022256
55;Lithuania;-18.01100893;-13.51354067;12.44469999;78.63700575;-20.39519159;-24.2510358;50.98897173;15.53335573
528;Argentina;-8.905273968;-23.71141296;57.10023479;14.33642738;-16.4954889;-5.658422113;8.289611167;-14.70429592
666;Bangladesh;1.240578242;-4.703625773;-10.82043643;0.628090395;-25.7297926;-10.17022037;12.04274736;-23.81327492
76;Georgia;14.00351095;-0.015565545;-17.16095216;-3.590667149;17.80175784;5.275903839;28.10102033;21.40060868
484;Venezuela;-36.78501168;-13.43222403;-41.63573779;85.08702476;774.7792323;-98.03894155;212.0337316;583.4551962
91;Slovenia;-1.229018347;10.13528956;-13.20946616;29.24460686;-8.711464664;2.364428276;4.842506479;5.862237809
98;Serbia;28.09604496;-6.772498593;18.85610828;34.78811647;-20.14308225;11.17194182;-1.192374492;-7.002408128
706;Singapore;-4.038220124;8.685399932;-6.097220262;13.59243987;-12.72208291;-20.2617803;4.665155243;16.03892553
92;Croatia;-33.98696605;-0.846034375;2.435826154;52.19660123;-4.51172778;5.334628273;7.732313698;43.42850825
272;Côte d'Ivoir;100.9488462;6.627248218;-21.46143821;11.30264043;-24.4428849;-6.300650135;75.73594131;4.426914809
512;Chile;-8.89410516;-21.41487041;-17.17750888;18.60314985;30.92627178;-35.41248274;17.50038921;13.97443702
74;Moldova;-0.208092372;-15.47269907;-20.33038688;23.5476274;-9.067537177;33.13641911;-31.36629537;80.52004101
640;Bahrain;68.19776388;-63.39877133;37.48819358;17.55277878;10.53390916;1.168044293;-7.241293077;67.46666474
662;Pakistan;0.816574537;-33.78480015;-5.850360891;27.78507433;-1.151758709;-11.36407165;-12.24498612;4.769321166
228;Mauritania;338.126303;-19.59935172;43.34537898;137.9162182;-33.59795668;185.3287656;-67.5108674;923.1149589
212;Tunisia;-27.74044203;-30.44737579;39.94192793;3.917326782;1.773182546;-18.74135987;-20.78157839;65.48664332
504;Peru;-19.38570496;-11.70282321;-6.229557733;27.58383489;42.0613702;-33.27947135;296.2540933;-17.68799742
524;Uruguay;-55.10394839;233.8783654;40.18150597;67.23374509;28.45674054;-38.97363643;-25.66282518;4.123168669
73;Belarus;-23.6558926;48.23486841;-53.77976409;81.70221061;-8.494176353;-2.13042813;6.621846459;28.50781442
54;Latvia;0.63373411;-28.24494914;61.06812673;-30.04519073;20.08577342;-0.00385364;-6.712648851;34.09060247
93;Bosnia and Herzegovina;31.35860317;39.40114573;7.566137064;-3.891340159;-10.59471321;-19.09320343;4.9011186;1.014800076
53;Estonia;17.04079902;-9.756011724;-17.19146485;23.0223619;-21.63160456;-13.11238613;-14.98668216;22.94099013
96;North Macedonia;-1.91457797;-0.530316705;-2.498941882;25.45068067;17.58707668;-9.704373749;21.51611328;38.8077706
608;Syria;35.37941415;-39.65543017;24.30485016;5.994521553;-9.111913205;13.26084182;109.7204824;-28.77466018
82;Tajikistan;-45.74929391;-6.99950664;-28.0867612;39.77551878;18.19606186;-25.19793406;-24.7546039;17.3022121
708;Philippines;-31.55633247;3.395801413;-5.109512214;16.31102377;-15.38497036;7.890419368;-5.543837482;10.71805
500;Ecuador;14.64674003;14.60360685;-11.90953266;18.90163069;-6.770032595;-21.81363687;-8.830156172;-12.80392605
516;Bolivia;83.48101217;-71.90725914;1692.852943;284.1017513;25.19215404;21.61884133;49.04557466;-20.34623473
18;Luxembourg;11.20293536;46.00071771;-38.91156183;-8.344616322;33.0750679;-33.32344254;21.98118012;-10.88638996
601;Turkish Rep. of Nor.Cyprus;17.79237202;-13.91301682;-5.037181107;3.305098726;-3.018466085;-30.14071949;28.20289016;41.80712089
276;Ghana;-13.72075153;9.54380831;9.588925748;-32.753176;-36.81376398;31.70582391;187.5466338;-62.60584869
628;Jordan;78.35461814;-2.516590336;-30.23790353;8.255964729;-11.94562638;-52.54961124;92.39262345;6.523893034
244;Chad;39.79528146;30.90274294;3.348363505;-5.364056681;13.71074633;40.53065837;100.1871175;41.46485332
46;Malta;-44.19743552;-36.69420412;46.75257328;58.72222095;-39.65073737;87.31158724;47.78143281;-11.2418135
288;Nigeria;-2.797551503;25.27199435;-27.17539708;-0.712643571;-1.213945933;8.886996508;-17.3327344;-26.9096233
224;Sudan;-40.54977201;51.32985153;91.4083326;62.84477761;-6.038605341;-5.385978078;28.20036257;-11.9369288
669;Sri Lanka;7.599049685;-11.96034215;14.32373965;6.720071612;-9.0112308;3.657438671;-11.4038586;1.923525932
