Code;Country;I_Total
696;Cambodia;59372.901
70;Albania;56132.396
302;Cameroon;54159.090
232;Mali;50741.617
604;Lebanon;46824.191
436;Costa Rica;43988.219
676;Myanmar;41918.789
366;Mozambique;40141.515
352;Tanzania;38364.042
824;Marshall Islands;32702.165
958;Countries and territories not specified;30908.423
660;Afghanistan;29468.456
804;New Zealand;29280.240
280;Togo;25368.883
24;Iceland;22620.503
456;Dominican Rep.;21792.017
355;Seychelles;21010.906
314;Gabon;20521.263
334;Ethiopia;20300.354
386;Malawi;19819.614
346;Kenya;18627.612
95;Kosovo;18553.199
97;Montenegro;18497.150
653;Yemen;17677.932
442;Panama;16767.893
370;Madagascar;16053.420
672;Nepal;15824.320
382;Zimbabwe;14644.189
416;Guatemala;14192.405
322;Democratic Rep. of the Congo;13060.176
236;Burkina Faso;12488.940
284;Benin;11752.580
448;Cuba;10898.886
350;Uganda;10689.888
625;State of Palestine;10412.149
330;Angola;10193.730
248;Senegal;10125.930
424;Honduras;10007.157
264;Sierra Leone;8193.815
260;Guinea;7751.611
375;Comoros;6733.322
520;Paraguay;6586.349
428;El Salvador;5979.307
240;Niger;5227.537
257;Guinea-Bissau;4888.549
378;Zambia;4681.926
342;Somalia;4483.814
684;Laos;4387.306
77;Armenia;3641.627
268;Liberia;3501.931
488;Guyana;3345.554
421;Belize;3033.857
37;Liechtenstein;2910.739
716;Mongolia;2537.665
463;Cayman Islands;2340.138
318;Congo;2126.329
306;Central African Rep.;2059.683
44;Gibraltar;2012.908
47;San Marino;1778.723
432;Nicaragua;1205.918
373;Mauritius;1102.006
472;Trinidad and Tobago;1076.154
452;Haiti;990.964
825;Palau;959.698
247;Cape Verde;909.776
837;Cook Islands;856.297
453;Bahamas;852.440
41;Faroe Islands;816.436
338;Djibouti;809.357
675;Bhutan;667.920
324;Rwanda;583.061
743;Macao;503.972
816;Vanuatu;230.678
801;Papua New Guinea;203.118
391;Botswana;199.180
395;Lesotho;174.151
464;Jamaica;156.303
838;Niue Island;154.418
252;Gambia;141.869
492;Suriname;131.950
45;Vatican City State;110.513
815;Fiji;105.281
389;Namibia;97.735
807;Tuvalu;84.266
626;Timor-Leste;82.463
328;Burundi;68.727
336;Eritrea;64.162
803;Nauru;61.163
310;Equatorial Guinea;52.901
469;Barbados;41.998
832;USA Minor Outlying Islands;37.419
225;South Sudan;30.383
43;Andorra;29.008
830;American Samoa;20.690
413;Bermuda;18.428
393;Eswatini;13.150
839;Tokelau Islands;10.378
449;St. Kitts and Nevis;8.717
822;French Polynesia;7.918
831;Guam;7.010
703;Brunei Darussalam;5.995
667;Maldives;5.849
460;Dominica;5.450
457;USA Virgin Isl.;3.554
473;Grenada;2.930
406;Greenland;2.433
891;Antarctica;2.241
893;South Georgia and Sandwich. Isl.;1.583
809;New Caledonia;1.470
467;St. Vincent and Grenadines;1.180
823;Micronesia;0.471
834;Christmas Islands;0.438
806;Solomon Isl.;0.424
454;Turks And Caicos Isl;0.317
474;Aruba;0.308
833;Cocos Islands;0.262
357;British Ind.Oce.Ter.;0.238
446;Anguilla;0.235
459;Antigua and Barbuda;0.169
820;Northern Mariana Islands;0.120
465;St. Lucia;0.096
894;French Southern Territories;0.019
377;Mayotte;0.018
468;British Virgin Isl.;0.012
812;Kiribati;0.011
819;Samoa;0.010
724;North Korea;0.000
470;Montserrat;0.000
311;Sao Tome And Principe;0.000
835;Heard Island and Mc Donald Isl.;0.000
811;Vallis and Futuna;0.000
475;Curaçao;0.000
329;St. Helena And Dep.;0.000
408;St Pierre and Miquelon;0.000
813;Pitcairn;0.000
529;Falkland Islands;0.000
836;Norfolk Islands;0.000
21;Ceuta;0.000
23;Melilla;0.000
817;Tonga;0.000
892;Bouvet Islands;0.000
950;Stores and Provinces;0.000
