Code;Country;13/14;14/15;15/16;16/17;17/18;18/19;19/20;20/21
604;Lebanon;-54.88426178;-11.29359797;4.6170666;19.57322879;0.441799789;15.34203842;-16.26718457;58.70552438
38;Austria;6.479272269;-9.414355529;2.469585344;7.145577305;5.102830203;-1.821734214;-4.520332067;22.41810165
10;Portugal;-8.385831154;-0.770412884;16.74134531;24.21284114;37.0368178;-0.000212638;-19.39305387;46.53748893
98;Serbia;14.09690773;0.353382671;19.71209403;22.87477291;20.33359541;4.204766238;6.698544622;32.70006813
64;Hungary;9.109732294;3.467630985;18.22182284;27.27962744;8.849031153;8.409385611;-11.2274366;3.066923514
212;Tunisia;-7.377939108;-10.9495575;10.47919614;0.240248006;2.071854431;-7.586609082;4.663902976;34.18491449
79;Kazakhstan;-5.954200528;-18.82811122;-19.0980689;17.72285897;-5.952105438;13.89636784;9.49530522;19.79176908
8;Denmark;7.978034454;-15.7315324;5.326131283;6.857464454;6.068822001;-6.868874898;0.502005938;12.19311323
39;Switzerland;191.9047167;76.23545956;-52.07058287;-66.34636476;93.44750668;-41.61076153;5.204232789;2.523953529
601;Turkish Rep. of Nor.Cyprus;5.088364967;-14.68114327;-11.00174599;19.82550692;10.70466542;3.889830419;-33.76416105;28.92083669
664;India;0.476800265;12.85907519;-0.972064752;16.92285466;46.19179412;-1.330359291;-23.72535497;24.10052458
644;Qatar;43.67744492;18.33505449;12.37943193;62.58986374;57.32363746;3.929003313;-19.79688703;1.212527549
653;Yemen;6.484102096;-38.55235496;35.99529334;6.054745215;28.02123426;30.94741928;-13.93584231;23.5734402
740;Hong Kong;2.752197542;-21.01630152;14.59618834;58.8864958;28.01697952;-10.67595702;9.954569069;20.74870579
508;Brazil;-15.15970532;-41.60716244;-28.40890831;17.42583544;26.29055233;-2.530146207;18.97516395;63.59617524
80;Turkmenistan;15.48094982;-16.87684891;-30.43268721;-18.3608513;-54.98107729;47.99209894;5.674922176;16.56264843
800;Australia;-11.4475569;-2.346784864;24.48169164;-14.93961972;25.13152815;-6.098622709;9.937967131;21.9323672
28;Norway;-10.07151694;-18.84604033;24.85290704;-0.819714056;-7.540497974;39.61905047;0.571462279;17.71203239
728;South Korea;2.695052333;20.05677677;-10.19835759;12.29329253;58.0898752;-3.934472309;16.95372086;-22.71132084
7;Ireland;24.17850749;-0.688940452;6.667615669;7.327576483;42.34523644;-19.57254349;5.591296448;28.25389952
73;Belarus;-10.2046711;-23.93806037;71.18823798;18.1702402;3.903144687;19.07154045;10.98006904;34.94455631
388;Rep. of South Africa;-11.63302491;-11.91872441;-18.99402745;16.33730055;12.55124941;2.763800747;0.784742898;40.33343172
706;Singapore;5.36703002;14.22882149;-4.475527698;64.99682176;-17.81773766;29.51468725;-54.21699355;131.5260629
