Code;Country;E_Total
37;Liechtenstein;2906.709
801;Papua New Guinea;2861.668
468;British Virgin Isl.;2378.245
77;Armenia;2336.630
328;Burundi;2202.578
465;St. Lucia;2175.088
460;Dominica;2147.183
473;Grenada;2122.895
457;USA Virgin Isl.;1441.011
413;Bermuda;1274.815
474;Aruba;1188.023
831;Guam;1185.254
807;Tuvalu;951.148
832;USA Minor Outlying Islands;931.180
684;Laos;925.409
819;Samoa;914.973
454;Turks And Caicos Isl;876.373
329;St. Helena And Dep.;687.093
41;Faroe Islands;590.526
626;Timor-Leste;570.089
393;Eswatini;541.354
43;Andorra;508.735
894;French Southern Territories;392.156
47;San Marino;338.583
812;Kiribati;336.708
395;Lesotho;274.413
357;British Ind.Oce.Ter.;255.630
830;American Samoa;248.025
817;Tonga;196.344
446;Anguilla;119.736
529;Falkland Islands;107.868
823;Micronesia;100.721
806;Solomon Isl.;83.886
675;Bhutan;72.919
838;Niue Island;70.041
811;Vallis and Futuna;64.555
839;Tokelau Islands;62.962
406;Greenland;29.711
475;Curaçao;12.120
893;South Georgia and Sandwich. Isl.;11.671
820;Northern Mariana Islands;2.919
470;Montserrat;0.157
21;Ceuta;0.128
833;Cocos Islands;0.040
408;St Pierre and Miquelon;0.020
803;Nauru;0.012
724;North Korea;0.000
479;Sint Maarten;0.000
836;Norfolk Islands;0.000
891;Antarctica;0.000
834;Christmas Islands;0.000
45;Vatican City State;0.000
813;Pitcairn;0.000
23;Melilla;0.000
892;Bouvet Islands;0.000
466;Saint Barthelemy;0.000
